DT,WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
2025-10-05,40,Ahmedabad,CX,4390,7,0.16%
2025-10-05,40,Vizianagaram,WH,154,1,0.65%
2025-10-05,40,Mumbai,WH,41317,70,0.17%
2025-10-05,40,Thiruvallur,Pod,210,2,0.95%
2025-10-05,40,Tirupur,Pod,499,1,0.20%
2025-10-05,40,Alappuzha,CX,431,1,0.23%
2025-10-05,40,Ranchi,Sourcing,343,2,0.58%
2025-10-05,40,Indore,Pod,1519,13,0.86%
2025-10-05,40,Manipal,Sourcing,866,4,0.46%
2025-10-05,40,Satara,Pod,15,1,6.67%
2025-10-05,40,Bhopal,Pod,816,4,0.49%
