WEEK,CITY,SPOC,ORDERS_TOTAL,IGCC,inc_%
11,Bangalore,Pod,634127,4271,0.67%
11,Nagercoil,DP,3609,1,0.03%
11,Salem,Pod,7855,31,0.39%
11,Dehradun,CX,12097,48,0.40%
11,Kakinada,Pod,3394,24,0.71%
11,Kakinada,Sourcing,3394,7,0.21%
11,Silchar,DP,3233,2,0.06%
11,Lucknow,Sourcing,21378,21,0.10%
11,Raipur,DP,4825,3,0.06%
12,Tirupati,DP,10805,4,0.04%
12,Bangalore,WH,586638,1044,0.18%
12,Rohtak,Sourcing,2608,5,0.19%
12,Thanjavur,DP,4978,4,0.08%
12,Thoothukudi,Sourcing,4272,2,0.05%
12,Noida 1,WH,65955,56,0.08%
12,Moradabad,Pod,2328,13,0.56%
12,Vizag,DP,22512,30,0.13%
12,Kakinada,CX,3408,10,0.29%
12,Ludhiana,Sourcing,8115,8,0.10%
12,Cuttack,CX,2854,6,0.21%
12,Gurgaon,WH,88143,66,0.07%
12,Vijayawada,WH,18714,48,0.26%
12,Alappuzha,WH,3432,1,0.03%
12,Bhubaneswar,WH,28919,9,0.03%
12,Mangaluru,WH,20553,18,0.09%
12,Mangaluru,DP,20553,9,0.04%
