Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sun Aug 30 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 29 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 28 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 27 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 26 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 25 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 24 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Gurgaon,Pod,External Damage/Bruises,0,0.011040138790316222,0.009553295002211411,0.00920317784944545,0.00814867762687634,0.0066884769174845515,0.011421950008276775,Tier-1
,,,,,,,,,,,,,,Gurgaon,Pod,External Rotten/ Fungal,0,0.00007885813421654444,0.00008845643520566122,0,0.0000714796283059328,0.00007270083605961468,0.00008276775368316503,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Internal Rotten,0,0.001104013879031622,0.0009730207872622733,0.00070793675764965,0.001072194424588992,0.0017448200654307524,0.0015725873199801358,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Taste / water content,0,0.0010251557448150777,0.0008845643520566122,0.0005506174781719499,0.0009292351679771265,0.0005816066884769174,0.0009932130441979805,Tier-1
,,,,,,,,,,,,,,Gurgaon,Sourcing,Incorrect size (sourcing issue),0,0,0,0,0,0.00014540167211922936,0,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0,0.0003942906710827222,0.00035382574082264487,0.0006292771179108,0.00035739814152966406,0.0003635041802980734,0.0004138387684158252,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0,0.0014194464158978,0.0010614772224679346,0.0014158735152993,0.0007147962830593281,0.0016721192293711379,0.0019036583347127958,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0,0.0014194464158978,0.0013268465280849183,0.0009439156768662,0.00042887776983559683,0.0007270083605961468,0.0007449097831484854,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0,0.0004731488052992666,0.00035382574082264487,0.00023597891921655,0.0002859185132237312,0.00014540167211922936,0.00016553550736633007,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0,0.004188594135968209,0.0045792787635947334,0.001900137232133432,0.0022130013831258644,0.003717108480876455,0.0045871559633027525,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0,0.006873590376973472,0.003663423010875787,0.00337802174601499,0.004887044721069617,0.006064755942482637,0.011701928477813144,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0,0.0047255933841692625,0.0033199771036061822,0.0036947112847038953,0.004702627939142462,0.0029345593270077275,0.00009361542782250516,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0,0.0020405971431639996,0.0016027475672581567,0.0020057004116964,0.0020285846011987092,0.0017607355962046367,0.0011233851338700617,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0,0.0016109977446031576,0.001030337721808815,0.001689010873007495,0.00119870908252651,0.0008803677981023183,0.001310615989515072,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0,0.0007517989474814735,0.00034344590726960504,0.00021112635912593687,0.00009220839096357768,0,0.0001872308556450103,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0,0.001288798195682526,0.0006868918145392101,0.0008445054365037475,0.0008298755186721991,0.0007825491538687273,0.0003744617112900206,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0,0.001933197293523789,0.0011448196908986834,0.0013723213343185897,0.0005532503457814661,0.001173823730803091,0.00308930911814267,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0,0.001718397594243368,0.0016027475672581567,0.0015834476934445266,0.0009220839096357768,0.0010760050865695002,0.00046807713911252576,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Underweight (packing issue),0,0.001073998496402105,0.0006868918145392101,0.0008445054365037475,0.0011065006915629322,0.0010760050865695002,0.0003744617112900206,Tier-1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
