Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 17 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 16 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 15 2026 00:00:00 GMT+0530 (India Standard Time),Tue Jul 14 2026 00:00:00 GMT+0530 (India Standard Time),Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),Sun Jul 12 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B.7days trend (City vs spoc level),,,,,,,,,,,,,,,,,,,,,,,,
CITY,SPOC,Sun Jul 12 2026 00:00:00 GMT+0530 (India Standard Time),Mon Jul 13 2026 00:00:00 GMT+0530 (India Standard Time),Tue Jul 14 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 15 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 16 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 17 2026 00:00:00 GMT+0530 (India Standard Time),Sat Jul 18 2026 00:00:00 GMT+0530 (India Standard Time),Avg,,,,,,,,,,,,,,,
Bangalore,CX,0.002269062428011979,0.0020765457735133007,0.002992405727297655,0.0023435346015991177,0.0020885340715292022,0.0021130067303177335,0.0021425066130441547,0.002289370849330449,,,,,,,,,,,,,,,
Bangalore,Pod,0.010504492052522461,0.009917296194192833,0.00985944038436319,0.008409153570443893,0.008675449220198226,0.007838994104450357,0.007708236082683998,0.008987580229836421,,,,,,,,,,,,,,,
Bangalore,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Sourcing,0.003582123934577286,0.003031279462484933,0.003075859273477271,0.0030328094844223876,0.0026817271806025855,0.0034955913810194605,0.0034351921672830864,0.003190654697695287,,,,,,,,,,,,,,,
Bangalore,WH,0.00175074867542041,0.0019452698912797012,0.0006557064342684104,0.0018171792365340752,0.002397488815838256,0.0016956226848228726,0.0017714579817348318,0.0017190676742712223,,,,,,,,,,,,,,,
Chennai,CX,0.0050584212026218295,0.0049035369774919615,0.0035800451396995874,0.0034663442160419184,0.0036404295706893414,0.004483536567952709,0.004173801369863014,0.004186587863480052,,,,,,,,,,,,,,,
Chennai,Pod,0.012919160254583452,0.013772775991425509,0.011751887306405168,0.009807873169420932,0.010505239618274957,0.010252163235000143,0.011558219178082191,0.011509616964741764,,,,,,,,,,,,,,,
Chennai,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Sourcing,0.0024460910040847344,0.001420150053590568,0.0010636365994759645,0.002606475883380357,0.003588423433965208,0.0061398749178970214,0.0042540667808219175,0.003074102667602253,,,,,,,,,,,,,,,
Chennai,WH,0.0005699629524080935,0.0019828510182207932,0.0022051002672062677,0.0009136101034529088,0.0004160490937930676,0.0005711511551532113,0.0008294092465753424,0.0010697334052585264,,,,,,,,,,,,,,,
Delhi,CX,0.0032272761789050044,0.003194179495142185,0.0028829125653803385,0.001917465610671113,0.0036744148893681603,0.0032415593163256716,0.003690925138409693,0.003118390456314595,,,,,,,,,,,,,,,
Delhi,Pod,0.01644012453489255,0.015127988997826183,0.012437708496355174,0.00925385577323885,0.013060148574167266,0.01406078976172434,0.0125972879723983,0.013282557730086094,,,,,,,,,,,,,,,
