Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Sep 14 2026 00:00:00 GMT+0530 (India Standard Time),Sun Sep 13 2026 00:00:00 GMT+0530 (India Standard Time),Sat Sep 12 2026 00:00:00 GMT+0530 (India Standard Time),Fri Sep 11 2026 00:00:00 GMT+0530 (India Standard Time),Thu Sep 10 2026 00:00:00 GMT+0530 (India Standard Time),Wed Sep 09 2026 00:00:00 GMT+0530 (India Standard Time),Tue Sep 08 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0,0.0067611574605340695,0.010300593528623397,0.004546532774571044,0.005709511210137864,0.005660488610232119,0.0057362473469856025,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0,0,0,0,0.00003978753456542065,0,0.000019120824489952006,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0,0.0009149272710355736,0.00340800306337354,0.0016407053056060727,0.001034475898700937,0.0018082116393797049,0.0016061492571559685,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0,0.00015507241881958876,0.0004595060310166571,0.00023721040562979363,0.0002984065092406549,0.0004520529098449262,0.0002676915428593281,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0,0.00020159414446546537,0.0003829216925138809,0.0002569779394322764,0.0002188314401098136,0.00019654474341083747,0.00022944989387942407,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0,0.00020159414446546537,0.0008041355542791499,0.00045465327745710445,0.00023872520739252393,0.0002161992177519212,0.00045889978775884814,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0,0.0005737679496324783,0.0010721807390388666,0.0008104688859017949,0.0006366005530467305,0.0007665244993022662,0.0006309872081684163,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0,0.006668114009242316,0.006126747080222095,0.0016604728394085553,0.0015716076153341157,0.0020047563827905422,0.002065049044914817,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0,0.00023260862822938313,0.0004595060310166571,0.00033604807464220765,0.00023872520739252393,0.00019654474341083747,0.00022944989387942407,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0,0.0027440054035798717,0.006338785443432,0.003397233681145353,0.002675840978593272,0.003423214661891721,0.004100601421541826,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0,0.005530226274907126,0.012451185692455713,0.005945158942004368,0.0063892529488859765,0.007109753528544344,0.00754510661563696,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0,0.00008443093549476529,0,0.00012132977432661975,0.000163826998689384,0.00010532968190436065,0.0002733734281027884,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0,0.0013508949679162446,0.0033957779161242854,0.002305265712205775,0.002348186981214504,0.0021592584790393935,0.0020776380535811917,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0,0.00012664640324214793,0.0004527703888165714,0.0003639893229798593,0.00021843599825251202,0.00015799452285654097,0.00010934937124111536,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0,0.000042215467747382644,0.0004527703888165714,0,0.00010921799912625601,0.00010532968190436065,0.00010934937124111536,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0,0.00033772374197906115,0.0004527703888165714,0.0005459839844697889,0.000327653997378768,0.00010532968190436065,0.00016402405686167306,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0,0.000591016548463357,0.0011319259720414285,0.000485319097306479,0.000327653997378768,0.0004739835685696229,0.0004920721705850192,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0,0.0029972982100641677,0.003961740902144999,0.0013346275175928173,0.00163826998689384,0.0015799452285654098,0.0016402405686167304,Tier-1
