Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
7/8/2026-Chennai-3967,7/8/2026,28,Chennai,3967,Purple Bharta Brinjal,1,256,Shrivelled / Dry (1.00)
7/8/2026-Mumbai-6126,7/8/2026,28,Mumbai,6126,Pluckk Mixed Sprouts,3,438,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Trichy-1007,7/8/2026,28,Trichy,1007,Yelakki Banana,3,109,External Damage/Bruises (3.00)
7/8/2026-Kozhikode-997,7/8/2026,28,Kozhikode,997,Royal Gala Apple,1,21,External Damage/Bruises (1.00)
7/8/2026-Kolkata-2609,7/8/2026,28,Kolkata,2609,Cowpea Beans,1,151,Overripe (1.00)
7/8/2026-Pondicherry-18544,7/8/2026,28,Pondicherry,18544,Mango Totapuri Ripe,2,8,External Damage/Bruises (2.00)
7/8/2026-Patna-3505,7/8/2026,28,Patna,3505,Banganapalli / Safeda Mango,1,6,External Damage/Bruises (1.00)
7/8/2026-Faridabad-663048,7/8/2026,28,Faridabad,663048,Thompson Green Grapes (Seedless),1,7,External Damage/Bruises (1.00)
7/8/2026-Kochi-3380,7/8/2026,28,Kochi,3380,Peeled Pomegranate,1,85,Internal Rotten (1.00)
7/8/2026-Thiruvallur-5803,7/8/2026,28,Thiruvallur,5803,Banana Leaves,1,1,Shrivelled / Dry (1.00)
7/8/2026-Patiala-1005,7/8/2026,28,Patiala,1005,Robusta Banana,1,76,External Damage/Bruises (1.00)
7/8/2026-Bangalore-38914,7/8/2026,28,Bangalore,38914,Baby Bottle Gourd,4,986,"External Damage/Bruises (3.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Coimbatore-1007,7/8/2026,28,Coimbatore,1007,Yelakki Banana,4,355,External Damage/Bruises (4.00)
7/8/2026-Berhampur-19027,7/8/2026,28,Berhampur,19027,Green Cucumber,1,6,External Damage/Bruises (1.00)
7/8/2026-Faridabad-6132,7/8/2026,28,Faridabad,6132,Small Green Capsicum,1,18,External Damage/Bruises (1.00)
7/8/2026-Gwalior-6890,7/8/2026,28,Gwalior,6890,Indian Cherry,1,3,Customer perception / Wrong claim (1.00)
7/8/2026-Pune-11559,7/8/2026,28,Pune,11559,Baby Green Kiwi,1,28,Customer perception / Wrong claim (1.00)
7/8/2026-Chennai-1113,7/8/2026,28,Chennai,1113,Ridge Gourd,7,375,"Customer perception / Wrong claim (3.00), External Damage/Bruises (2.00), Internal Rotten (2.00)"
7/8/2026-Cuddalore-8689,7/8/2026,28,Cuddalore,8689,Hybrid Tomato,1,7,Customer perception / Wrong claim (1.00)
7/8/2026-Kochi-1095,7/8/2026,28,Kochi,1095,Button Mushroom,1,380,External Damage/Bruises (1.00)
7/8/2026-Delhi-3506,7/8/2026,28,Delhi,3506,Sponge Gourd,2,264,External Damage/Bruises (2.00)
7/8/2026-Coimbatore-4601,7/8/2026,28,Coimbatore,4601,Ooty Carrot (Carrot),5,367,Shrivelled / Dry (5.00)
7/8/2026-Kolhapur-1066,7/8/2026,28,Kolhapur,1066,Drumstick,1,45,Customer perception / Wrong claim (1.00)
7/8/2026-Faridabad-1074,7/8/2026,28,Faridabad,1074,Garlic,1,70,External Damage/Bruises (1.00)
7/8/2026-Central Goa-993186,7/8/2026,28,Central Goa,993186,Imported Snacky Apple,1,16,External Damage/Bruises (1.00)
7/8/2026-Noida 1-6132,7/8/2026,28,Noida 1,6132,Small Green Capsicum,3,93,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
7/8/2026-Kanpur-7433,7/8/2026,28,Kanpur,7433,Imported Avocado - Tanzania,1,11,Internal Rotten (1.00)
7/8/2026-Bhubaneswar-19027,7/8/2026,28,Bhubaneswar,19027,Green Cucumber,1,149,External Damage/Bruises (1.00)
7/8/2026-Sonipat-1108,7/8/2026,28,Sonipat,1108,Potato,1,38,External Damage/Bruises (1.00)
7/8/2026-Mumbai-1016,7/8/2026,28,Mumbai,1016,Bottle Gourd,2,1917,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Guwahati-1036,7/8/2026,28,Guwahati,1036,Carrot,1,63,Customer perception / Wrong claim (1.00)
7/8/2026-Central Goa-9499,7/8/2026,28,Central Goa,9499,Mixed Marigold Flowers,1,16,Customer perception / Wrong claim (1.00)
7/8/2026-Noida 1-1025,7/8/2026,28,Noida 1,1025,Broccoli,2,137,External Damage/Bruises (2.00)
7/8/2026-Surat-6890,7/8/2026,28,Surat,6890,Indian Cherry,1,11,External Damage/Bruises (1.00)
7/8/2026-Bangalore-932478,7/8/2026,28,Bangalore,932478,nectr Ridge Gourd,1,40,External Damage/Bruises (1.00)
7/8/2026-Pune-785537,7/8/2026,28,Pune,785537,Phulwaa Fresh Shevanti Yellow,1,51,Customer perception / Wrong claim (1.00)
7/8/2026-Kolkata-2610,7/8/2026,28,Kolkata,2610,French Beans,1,400,External Damage/Bruises (1.00)
7/8/2026-Sonipat-2969,7/8/2026,28,Sonipat,2969,Imported Blueberry (From Peru),1,2,External Damage/Bruises (1.00)
7/8/2026-Chandigarh-1101,7/8/2026,28,Chandigarh,1101,Papaya,2,83,External Damage/Bruises (2.00)
7/8/2026-Ahmedabad-17077,7/8/2026,28,Ahmedabad,17077,Malihabad Dasheri Mango,1,16,External Damage/Bruises (1.00)
7/8/2026-Noida 1-6760,7/8/2026,28,Noida 1,6760,Langra Mango (Malda),4,140,"Customer perception / Wrong claim (2.00), External Damage/Bruises (2.00)"
7/8/2026-Pune-1083,7/8/2026,28,Pune,1083,Green Kiwi,1,121,Overripe (1.00)
7/8/2026-Bangalore-8687,7/8/2026,28,Bangalore,8687,Pointed Gourd,8,1169,External Damage/Bruises (8.00)
7/8/2026-Central Goa-7821,7/8/2026,28,Central Goa,7821,English Cucumber,1,63,External Damage/Bruises (1.00)
7/8/2026-Meerut-1284,7/8/2026,28,Meerut,1284,Indian Tomato,1,86,External Damage/Bruises (1.00)
7/8/2026-Thoothukudi-1284,7/8/2026,28,Thoothukudi,1284,Indian Tomato,1,118,External Damage/Bruises (1.00)
7/8/2026-Vellore-4133,7/8/2026,28,Vellore,4133,Jamun,1,91,External Damage/Bruises (1.00)
7/8/2026-Hyderabad-4070,7/8/2026,28,Hyderabad,4070,Pineapple Slices,1,83,Internal Rotten (1.00)
7/8/2026-Bangalore-997,7/8/2026,28,Bangalore,997,Royal Gala Apple,7,1420,"External Damage/Bruises (5.00), Internal Rotten (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Bhopal-2116,7/8/2026,28,Bhopal,2116,Onion,2,360,External Damage/Bruises (2.00)
7/8/2026-Central Goa-262849,7/8/2026,28,Central Goa,262849,Small Onion,1,63,External Damage/Bruises (1.00)
7/8/2026-Jalandhar-1115,7/8/2026,28,Jalandhar,1115,Chikoo - Sapota,1,5,Raw (1.00)
7/8/2026-Kochi-1068,7/8/2026,28,Kochi,1068,Sweet Corn,2,221,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Mangaluru-962806,7/8/2026,28,Mangaluru,962806,Mangalore Coriander Leaves,1,273,Customer perception / Wrong claim (1.00)
7/8/2026-Chennai-7816,7/8/2026,28,Chennai,7816,Ooty Potato,23,1142,"External Damage/Bruises (19.00), Customer perception / Wrong claim (2.00), Raw (1.00), Underweight (packing issue) (1.00)"
7/8/2026-Bangalore-2970,7/8/2026,28,Bangalore,2970,Imported Plum,1,106,Customer perception / Wrong claim (1.00)
7/8/2026-Panipat-4599,7/8/2026,28,Panipat,4599,Lady's Finger,1,19,External Damage/Bruises (1.00)
7/8/2026-Noida 1-21211,7/8/2026,28,Noida 1,21211,Papaya,1,6,Raw (1.00)
7/8/2026-Jalandhar-2116,7/8/2026,28,Jalandhar,2116,Onion,1,160,External Damage/Bruises (1.00)
7/8/2026-Noida 1-8687,7/8/2026,28,Noida 1,8687,Pointed Gourd,2,207,"External Damage/Bruises (1.00), Overripe (1.00)"
7/8/2026-Thiruvananthapuram-16377,7/8/2026,28,Thiruvananthapuram,16377,Sweet Lime (Mosambi),1,9,External Damage/Bruises (1.00)
7/8/2026-Vijayawada-8438,7/8/2026,28,Vijayawada,8438,Broccoli Florets,1,3,External Damage/Bruises (1.00)
7/8/2026-Indore-3381,7/8/2026,28,Indore,3381,Pineapple Chunks,1,6,External Damage/Bruises (1.00)
7/8/2026-Hyderabad-1005,7/8/2026,28,Hyderabad,1005,Robusta Banana,54,3511,"External Damage/Bruises (51.00), Customer perception / Wrong claim (3.00)"
7/8/2026-Faridabad-1108,7/8/2026,28,Faridabad,1108,Potato,3,186,External Damage/Bruises (3.00)
7/8/2026-Jabalpur-1027,7/8/2026,28,Jabalpur,1027,Green Capsicum,2,14,External Damage/Bruises (2.00)
7/8/2026-Rohtak-1095,7/8/2026,28,Rohtak,1095,Button Mushroom,1,17,External Damage/Bruises (1.00)
7/8/2026-Erode-1128,7/8/2026,28,Erode,1128,Sweet Potato,1,28,External Damage/Bruises (1.00)
7/8/2026-Vijayawada-2116,7/8/2026,28,Vijayawada,2116,Onion,3,436,External Damage/Bruises (3.00)
7/8/2026-Bhubaneswar-1047,7/8/2026,28,Bhubaneswar,1047,Coconut,1,24,External Damage/Bruises (1.00)
7/8/2026-Bhubaneswar-1131,7/8/2026,28,Bhubaneswar,1131,Kiran Watermelon,3,34,"Internal Rotten (2.00), Taste / water content (1.00)"
7/8/2026-Delhi-1108,7/8/2026,28,Delhi,1108,Potato,15,2454,"External Damage/Bruises (12.00), Customer perception / Wrong claim (3.00)"
7/8/2026-Hyderabad-1016,7/8/2026,28,Hyderabad,1016,Bottle Gourd,3,587,"External Damage/Bruises (2.00), Internal Rotten (1.00)"
7/8/2026-Bangalore-1049,7/8/2026,28,Bangalore,1049,Colocasia (Arbi),3,756,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
7/8/2026-Gurgaon-1284,7/8/2026,28,Gurgaon,1284,Indian Tomato,9,3217,"External Damage/Bruises (7.00), Raw (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Mangaluru-1007,7/8/2026,28,Mangaluru,1007,Yelakki Banana,1,87,External Damage/Bruises (1.00)
7/8/2026-Bhilai-17077,7/8/2026,28,Bhilai,17077,Malihabad Dasheri Mango,1,4,Customer perception / Wrong claim (1.00)
7/8/2026-Thiruvallur-1007,7/8/2026,28,Thiruvallur,1007,Yelakki Banana,1,19,External Damage/Bruises (1.00)
7/8/2026-Mumbai-998,7/8/2026,28,Mumbai,998,Washington Apple,1,4,Internal Rotten (1.00)
7/8/2026-Agra-7433,7/8/2026,28,Agra,7433,Imported Avocado - Tanzania,1,7,Raw (1.00)
7/8/2026-Trichy-3796,7/8/2026,28,Trichy,3796,Lemon,1,53,Customer perception / Wrong claim (1.00)
7/8/2026-Bhopal-19027,7/8/2026,28,Bhopal,19027,Green Cucumber,1,74,External Damage/Bruises (1.00)
7/8/2026-Guntur-1056,7/8/2026,28,Guntur,1056,Madras Cucumber,2,29,External Damage/Bruises (2.00)
7/8/2026-Guntur-3508,7/8/2026,28,Guntur,3508,Kiran Watermelon,2,20,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Jabalpur-1036,7/8/2026,28,Jabalpur,1036,Carrot,1,32,Shrivelled / Dry (1.00)
7/8/2026-Thiruvananthapuram-110990,7/8/2026,28,Thiruvananthapuram,110990,Green Amaranthus Cut,1,26,Customer perception / Wrong claim (1.00)
7/8/2026-Tirupati-1095,7/8/2026,28,Tirupati,1095,Button Mushroom,2,105,External Damage/Bruises (2.00)
7/8/2026-Delhi-4223,7/8/2026,28,Delhi,4223,Fruit Chat Mix,1,11,External Damage/Bruises (1.00)
7/8/2026-Pune-16377,7/8/2026,28,Pune,16377,Sweet Lime (Mosambi),1,38,Internal Rotten (1.00)
7/8/2026-Bangalore-1007,7/8/2026,28,Bangalore,1007,Yelakki Banana,22,2785,"Raw (12.00), Customer perception / Wrong claim (9.00), External Damage/Bruises (1.00)"
7/8/2026-Anantapur-2969,7/8/2026,28,Anantapur,2969,Imported Blueberry (From Peru),2,15,External Damage/Bruises (2.00)
7/8/2026-Chennai-862713,7/8/2026,28,Chennai,862713,Pluckk Cold Pressed Extracted Mixed Berries Juice (No Preservatives),1,4,External Damage/Bruises (1.00)
7/8/2026-Bangalore-3967,7/8/2026,28,Bangalore,3967,Purple Bharta Brinjal,22,1082,"External Damage/Bruises (17.00), Customer perception / Wrong claim (3.00), Internal Rotten (2.00)"
7/8/2026-Gurgaon-3383,7/8/2026,28,Gurgaon,3383,Diced Papaya,1,3,External Damage/Bruises (1.00)
7/8/2026-Trichy-12683,7/8/2026,28,Trichy,12683,Rambhutan (Jungle Litchi),1,46,External Damage/Bruises (1.00)
7/8/2026-Sonipat-7433,7/8/2026,28,Sonipat,7433,Imported Avocado - Tanzania,1,8,Raw (1.00)
7/8/2026-Kanchipuram-19027,7/8/2026,28,Kanchipuram,19027,Green Cucumber,1,28,External Damage/Bruises (1.00)
7/8/2026-Noida-3903,7/8/2026,28,Noida,3903,Indian Litchi (Lychee) No stem,1,30,Underweight (packing issue) (1.00)
7/8/2026-Mumbai-11559,7/8/2026,28,Mumbai,11559,Baby Green Kiwi,1,38,External Damage/Bruises (1.00)
7/8/2026-Noida 1-208289,7/8/2026,28,Noida 1,208289,Lettuce Green - Protected Cultivation,1,104,External Damage/Bruises (1.00)
7/8/2026-Pondicherry-2610,7/8/2026,28,Pondicherry,2610,French Beans,1,55,Overripe (1.00)
7/8/2026-Vellore-8689,7/8/2026,28,Vellore,8689,Hybrid Tomato,2,39,"External Damage/Bruises (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Central Goa-12683,7/8/2026,28,Central Goa,12683,Rambhutan (Jungle Litchi),2,82,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Mumbai-11557,7/8/2026,28,Mumbai,11557,Pluckk Pineapple Cuts,4,168,"External Damage/Bruises (2.00), Underweight (packing issue) (1.00), Internal Rotten (1.00)"
7/8/2026-Trichy-3505,7/8/2026,28,Trichy,3505,Banganapalli / Safeda Mango,1,18,External Damage/Bruises (1.00)
7/8/2026-Delhi-1074,7/8/2026,28,Delhi,1074,Garlic,3,744,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
7/8/2026-Patna-1037,7/8/2026,28,Patna,1037,Cauliflower,4,102,External Damage/Bruises (4.00)
7/8/2026-Jaipur-1109,7/8/2026,28,Jaipur,1109,Disco Pumpkin,1,13,External Damage/Bruises (1.00)
7/8/2026-Pune-1137,7/8/2026,28,Pune,1137,Yellow Zucchini,1,65,External Damage/Bruises (1.00)
7/8/2026-Central Goa-997,7/8/2026,28,Central Goa,997,Royal Gala Apple,2,41,"External Damage/Bruises (1.00), Internal Rotten (1.00)"
7/8/2026-Bhubaneswar-3383,7/8/2026,28,Bhubaneswar,3383,Diced Papaya,1,27,External Damage/Bruises (1.00)
7/8/2026-Meerut-49620,7/8/2026,28,Meerut,49620,Peach,1,2,External Damage/Bruises (1.00)
7/8/2026-Gurgaon-357325,7/8/2026,28,Gurgaon,357325,Small Tender Coconut,4,87,"External Damage/Bruises (3.00), Taste / water content (1.00)"
7/8/2026-Mumbai-2969,7/8/2026,28,Mumbai,2969,Imported Blueberry (From Peru),1,646,Customer perception / Wrong claim (1.00)
7/8/2026-Bangalore-6566,7/8/2026,28,Bangalore,6566,Pluckk Muskmelon Chunks,1,37,Internal Rotten (1.00)
7/8/2026-Ongole-1296,7/8/2026,28,Ongole,1296,Tender Coconut,1,23,Taste / water content (1.00)
7/8/2026-Vizag-1074,7/8/2026,28,Vizag,1074,Garlic,1,167,Customer perception / Wrong claim (1.00)
7/8/2026-Bangalore-2969,7/8/2026,28,Bangalore,2969,Imported Blueberry (From Peru),9,784,External Damage/Bruises (9.00)
7/8/2026-Amritsar-6132,7/8/2026,28,Amritsar,6132,Small Green Capsicum,1,5,Customer perception / Wrong claim (1.00)
7/8/2026-Gurgaon-4133,7/8/2026,28,Gurgaon,4133,Jamun,7,338,"External Damage/Bruises (5.00), Underweight (packing issue) (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Tirupati-20422,7/8/2026,28,Tirupati,20422,Daily Apple,1,36,Internal Rotten (1.00)
7/8/2026-Jaipur-3505,7/8/2026,28,Jaipur,3505,Banganapalli / Safeda Mango,1,23,External Damage/Bruises (1.00)
7/8/2026-Hyderabad-6753,7/8/2026,28,Hyderabad,6753,Malihabad Dasheri Mango,4,110,"External Damage/Bruises (2.00), Customer perception / Wrong claim (1.00), Raw (1.00)"
7/8/2026-Hyderabad-1108,7/8/2026,28,Hyderabad,1108,Potato,10,3671,"External Damage/Bruises (8.00), Customer perception / Wrong claim (2.00)"
7/8/2026-Raipur-1027,7/8/2026,28,Raipur,1027,Green Capsicum,1,51,External Damage/Bruises (1.00)
7/8/2026-Chennai-5339,7/8/2026,28,Chennai,5339,Pineapple Peeled (Ananas) - Whole,1,18,External Damage/Bruises (1.00)
7/8/2026-Gurgaon-14589,7/8/2026,28,Gurgaon,14589,Sun Gold Kiwi,2,49,External Damage/Bruises (2.00)
7/8/2026-Vizag-993186,7/8/2026,28,Vizag,993186,Imported Snacky Apple,1,178,External Damage/Bruises (1.00)
7/8/2026-Pune-4597,7/8/2026,28,Pune,4597,Coccinia,2,864,"Overripe (1.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Bangalore-8707,7/8/2026,28,Bangalore,8707,Coconut,3,972,"Internal Rotten (2.00), Customer perception / Wrong claim (1.00)"
7/8/2026-Thrissur-2609,7/8/2026,28,Thrissur,2609,Cowpea Beans,2,224,External Damage/Bruises (2.00)
7/8/2026-Chennai-7808,7/8/2026,28,Chennai,7808,Banana Poovan,2,404,"Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
7/8/2026-Gurgaon-4361,7/8/2026,28,Gurgaon,4361,Sun Melon,1,15,External Damage/Bruises (1.00)
7/8/2026-Vizag-3508,7/8/2026,28,Vizag,3508,Kiran Watermelon,1,18,Underweight (packing issue) (1.00)
