Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 14 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Chennai,WH,Underweight (packing issue),0.0010875620042971963,0.00022588660492432798,0.0003346122958864995,0.00022395162644868707,0.00040437738519473297,0.0003655594277776424,0.0005117588220242388,Tier-1
,,,,,,,,,,,,,,Delhi,CX,Customer perception / Wrong claim,0.0026526162790697673,0.0035613688606857255,0.002663992227410913,0.002874355238807733,0.003370207366876809,0.0038151137197358766,0.0015620007810003905,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,Damage in transit,0,0,0,0,0,0.00007336757153338224,0,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Damage/Bruises,0.007558139534883721,0.007802635412956908,0.008305387532516376,0.007441823837461117,0.007969549185202807,0.00851063829787234,0.003940501970250985,Tier-1
,,,,,,,,,,,,,,Delhi,Pod,External Rotten/ Fungal,0.00043604651162790697,0.00048564120827532617,0.0003760930203403642,0.0001574989171949443,0.0002775464890369137,0.00047688921496698457,0.0034435017217508608,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Internal Rotten,0.0014171511627906978,0.001100786738757406,0.0009715736358792741,0.0013387407961570263,0.0013084334483168788,0.0012839325018341892,0.0012780006390003195,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Taste / water content,0.001308139534883721,0.0012302910609641596,0.0010029147209076378,0.0007874945859747215,0.0009515879624122755,0.0010271460014673515,0.002023501011750506,Tier-1
,,,,,,,,,,,,,,Delhi,Sourcing,Incorrect size (sourcing issue),0.00007267441860465116,0.00003237608055168841,0.00003134108502836368,0,0.00003964949843384481,0.00007336757153338224,0.00021300010650005324,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Overripe,0.00043604651162790697,0.00042088904717194937,0.00028206976525527313,0.0002756231050911525,0.0004361444827722929,0.00040352164343360235,0.00010650005325002662,Tier-1
,,,,,,,,,,,,,,Delhi,DP,Raw,0.0015625,0.0016188040275844206,0.0008775503807941831,0.0012206166082608181,0.00023789699060306887,0.00018341892883345562,0.00021300010650005324,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Shrivelled / Dry,0.0012354651162790698,0.001165538899860783,0.0011596201460494563,0.0007874945859747215,0.0011101859561476548,0.0006603081438004402,0.0010650005325002663,Tier-1
,,,,,,,,,,,,,,Delhi,WH,Underweight (packing issue),0.00014534883720930232,0.00029138472496519573,0.0003447519353120005,0.0001574989171949443,0.00023789699060306887,0.000293470286133529,0.0009585004792502396,Tier-1
,,,,,,,,,,,,,,Hyderabad,CX,Customer perception / Wrong claim,0.003587461920795254,0.0038642109064644277,0.0034569798068481124,0.0026421498077460097,0.0027176134041683696,0.0045925118704755975,0.0032224451991355357,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,Damage in transit,0,0,0,0.00002148089274590252,0,0,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Damage/Bruises,0.006794131794131794,0.007764535933550018,0.00757243195785777,0.004317659441926407,0.00578259092766653,0.005623881061726473,0.006367706082124112,Tier-1
,,,,,,,,,,,,,,Hyderabad,Pod,External Rotten/ Fungal,0.0002405002405002405,0.00007222824124232574,0.00007316359379572725,0,0,0.000019459796061337276,0.000019296079036739735,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Internal Rotten,0.0007615840949174282,0.0010111953773925605,0.0007682177348551361,0.0008162739243442957,0.0013077237433592153,0.0010897485794348874,0.001022692188947206,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Taste / water content,0.0003807920474587141,0.00039725532683279163,0.00038410886742756806,0.00025777071295083026,0.0003882304863097671,0.00021405775667471006,0.000289441185551096,Tier-1
,,,,,,,,,,,,,,Hyderabad,Sourcing,Incorrect size (sourcing issue),0.000020041686708353376,0.00018057060310581438,0.0001829089844893181,0.00017184714196722016,0.0002860645688598284,0.0003113567369813964,0,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Overripe,0.0004008337341670675,0.0002527988443481401,0.0001829089844893181,0.0001074044637295126,0.0002860645688598284,0.00013621857242936093,0.00015436863229391788,Tier-1
,,,,,,,,,,,,,,Hyderabad,DP,Raw,0.0006814173480840148,0.0008486818345973276,0.0008962540239976588,0.0010096019590574185,0.0008990600735594605,0.0006227134739627928,0.0006367706082124113,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Shrivelled / Dry,0.002284752284752285,0.0009570241964608162,0.000877963125548727,0.0006659076751229781,0.0009603596240294238,0.0015178640927843076,0.0011770608212411239,Tier-1
,,,,,,,,,,,,,,Hyderabad,WH,Underweight (packing issue),0.0004409171075837742,0.00021668472372697725,0.0003475270705297044,0.00012888535647541513,0.00024519820187985286,0.000350276329104071,0.00048240197591849335,Tier-1
,,,,,,,,,,,,,,Kolkata,CX,Customer perception / Wrong claim,0.0027994157740993185,0.002613751533578706,0.002813760883414738,0.001883745963401507,0.0038298126982227276,0.004549646480172149,0.0021350078492935634,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Damage/Bruises,0.0049902629016553065,0.0037339307622552944,0.003928647271182841,0.003632938643702906,0.004308539285500569,0.009652628343067937,0.005149136577708006,Tier-1
,,,,,,,,,,,,,,Kolkata,Pod,External Rotten/ Fungal,0.0035296981499513143,0.0035205632901264203,0.004034826927160756,0.0032965554359526373,0.004488061755729759,0,0.0035164835164835165,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Internal Rotten,0.0012171372930866603,0.0010668373606443698,0.0012210660437460183,0.0010091496232508073,0.0011369756447848723,0.0013525976022133416,0.001130298273155416,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Taste / water content,0.0007302823758519961,0.0007467861524510589,0.00026544913994478657,0.00033638320775026913,0.0004188857638681108,0.0002459268367660621,0.00018838304552590266,Tier-1
,,,,,,,,,,,,,,Kolkata,Sourcing,Incorrect size (sourcing issue),0.00012171372930866602,0.00010668373606443698,0.00005308982798895732,0.00006727664155005382,0.00005984082340973012,0,0.00018838304552590266,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Overripe,0.00024342745861733204,0.00037339307622552944,0.0003185389679337439,0.00040365984930032295,0.00047872658727784095,0.0006762988011066708,0.0003139717425431711,Tier-1
,,,,,,,,,,,,,,Kolkata,DP,Raw,0.0006085686465433301,0.0006401024163866218,0.0003185389679337439,0.00040365984930032295,0.00047872658727784095,0.0009222256378727329,0.00018838304552590266,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Shrivelled / Dry,0.0009128529698149952,0.001653597908998773,0.0009025270758122744,0.00026910656620021526,0.0011369756447848723,0.001045189056255764,0.0003139717425431711,Tier-1
,,,,,,,,,,,,,,Kolkata,WH,Underweight (packing issue),0.0004868549172346641,0.0009068117565477143,0.0003185389679337439,0,0.00005984082340973012,0.00012296341838303104,0.0002511773940345369,Tier-1
,,,,,,,,,,,,,,Mumbai,CX,Customer perception / Wrong claim,0.0024573378839590444,0.0029808278571912474,0.0031750781301948267,0.0019636824324324323,0.0019894813559989755,0.002623515894293374,0.0021336727245503378,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Damage/Bruises,0.00651389566065334,0.006571370503353431,0.007197951991488796,0.004793074324324324,0.005062343648433037,0.005151283033320567,0.005839525351400925,Tier-1
,,,,,,,,,,,,,,Mumbai,Pod,External Rotten/ Fungal,0.00019502681618722574,0.0002540478287378904,0.00023272823990956845,0.00023226351351351353,0.00025607185770283846,0.00040214477211796245,0,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Internal Rotten,0.0008776206728425158,0.001371858275184608,0.0011802646452556687,0.0007179054054054054,0.000728819902692694,0.0009191880505553428,0.0011604184993168503,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Taste / water content,0.0003510482691370063,0.00040647652598062463,0.00041558614269565793,0.00033783783783783786,0.00035456103374239173,0.00021064726158559938,0.00028074641112504445,Tier-1
,,,,,,,,,,,,,,Mumbai,Sourcing,Incorrect size (sourcing issue),0,0.00003387304383171872,0,0.000021114864864864866,0.0000393956704158213,0.00007659900421294524,0,Tier-1
