Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 11 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 10 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 09 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 08 2026 00:00:00 GMT+0530 (India Standard Time),Fri Aug 07 2026 00:00:00 GMT+0530 (India Standard Time),Thu Aug 06 2026 00:00:00 GMT+0530 (India Standard Time),Tier
Delhi,WH,0.00038397095783300754,0.0004839049021670524,0.00044612216884008235,0.0007595177062565271,0.0009061321103631926,0.001011750505875253,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,CX,0.0029742299938120046,0.0027576985751890694,0.0029836090339149485,0.003353266640585704,0.0037517524633216832,0.0032224451991355357,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Pod,0.002924326805996367,0.002997952617724481,0.0030497016390966087,0.002971366828741221,0.001900558813656379,0.00218045693115159,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Sourcing,0.0006919908710435089,0.0006058580203066895,0.0005602135105874058,0.0003958717561802567,0.000598963989758374,0.0006496346609035711,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,WH,0.0004291674152144839,0.0005013997409434672,0.0006137170481154166,0.0006147655507740457,0.0009083190174357759,0.0008297313985798086,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,CX,0.0014125125066211525,0.0016567896514369464,0.0022343872193051058,0.002665299846232701,0.0030278562777553493,0.0021350078492935634,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Pod,0.002550369803621525,0.0031011703732024896,0.002979182959073474,0.003143686998120622,0.003364284753061499,0.002993197278911565,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Sourcing,0.0004855511741510211,0.0006053654495634997,0.0005865266450675902,0.000627883136852896,0.0007906069169694523,0.000423861852433281,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
