WEEK,CITY,Basic Reason for IGCC,SPOC,ORDERS_TOTAL,IGCC,inc_%
10,Kanpur,Shrivelled / Dry,WH,5181,1,0.0002
10,Ambala,Shrivelled / Dry,WH,2127,1,0.0005
10,Nagercoil,Customer perception / Wrong claim,CX,3479,2,0.0006
10,Karaikkudi,Customer perception / Wrong claim,CX,2168,1,0.0005
10,Mysore,Incorrect size (sourcing issue),Sourcing,22787,1,0
10,Kottayam,Underweight (packing issue),WH,5848,1,0.0002
10,Tumakuru,Underweight (packing issue),WH,3690,1,0.0003
10,Tirupur,Taste / water content,Sourcing,5921,1,0.0002
10,Sonipat,Shrivelled / Dry,WH,1575,1,0.0006
10,Nagercoil,Taste / water content,Sourcing,3479,1,0.0003
10,Thiruvalla,Raw,Sourcing,4027,3,0.0007
10,Moradabad,Customer perception / Wrong claim,CX,2751,2,0.0007
10,Vellore,External Rotten/ Fungal,Pod,6818,1,0.0001
10,Karnal,Taste / water content,Sourcing,1161,2,0.0017
10,Shivamogga,Overripe,Pod,3566,1,0.0003
10,Tirunelveli,Internal Rotten,Sourcing,5266,1,0.0002
10,Jodhpur,External Rotten/ Fungal,Pod,2054,1,0.0005
10,Bikaner,Shrivelled / Dry,WH,1411,1,0.0007
10,Kurnool,Shrivelled / Dry,WH,5252,2,0.0004
10,Salem,Internal Rotten,Sourcing,7986,2,0.0003
10,Nagercoil,Raw,Sourcing,3479,2,0.0006
10,Amritsar,Overripe,Pod,3055,1,0.0003
10,Trichy,Overripe,Pod,8454,1,0.0001
10,Hyderabad,Customer perception / Wrong claim,CX,392758,1552,0.004
10,Guwahati,External Damage/Bruises,Pod,7840,85,0.0108
10,Delhi,External Damage/Bruises,Pod,199871,852,0.0043
10,Kolkata,Customer perception / Wrong claim,CX,127082,192,0.0015
10,Chennai,Customer perception / Wrong claim,CX,288553,847,0.0029
10,Kolkata,External Damage/Bruises,Pod,127082,386,0.003
10,Delhi,External Rotten/ Fungal,Pod,199871,456,0.0023
10,Ahmedabad,External Damage/Bruises,Pod,44621,280,0.0063
10,Kota,External Damage/Bruises,Pod,5994,47,0.0078
10,Hyderabad,Damage in transit,Pod,392758,32,0.0001
10,Central Goa,Taste / water content,Sourcing,35990,17,0.0005
10,Rohtak,External Damage/Bruises,Pod,3040,27,0.0089
10,Gurgaon,Shrivelled / Dry,WH,102441,35,0.0003
10,Gurgaon,Internal Rotten,Sourcing,102441,38,0.0004
10,Ambala,External Damage/Bruises,Pod,2127,12,0.0056
10,Trichy,External Damage/Bruises,Pod,8454,41,0.0049
10,Karimnagar,External Damage/Bruises,Pod,3523,25,0.0071
10,Gurgaon,Underweight (packing issue),WH,102441,22,0.0002
10,Central Goa,Raw,Sourcing,35990,23,0.0006
10,Coimbatore,Taste / water content,Sourcing,31184,6,0.0002
10,Rajkot,Customer perception / Wrong claim,CX,3652,10,0.0027
10,Mysore,Shrivelled / Dry,WH,22787,7,0.0003
10,Bhubaneswar,Raw,Sourcing,30723,20,0.0007
10,Jalandhar,External Damage/Bruises,Pod,2155,13,0.006
10,Nashik,External Damage/Bruises,Pod,8221,41,0.005
10,Chandigarh,Overripe,Pod,47714,12,0.0003
10,Pune,External Rotten/ Fungal,Pod,190036,52,0.0003
10,Central Goa,Overripe,Pod,35990,7,0.0002
10,Central Goa,Shrivelled / Dry,WH,35990,6,0.0002
10,Bhubaneswar,External Rotten/ Fungal,Pod,30723,9,0.0003
10,Patiala,External Damage/Bruises,Pod,3795,14,0.0037
10,Kurnool,Raw,Sourcing,5252,4,0.0008
10,Patiala,Raw,Sourcing,3795,9,0.0024
10,Bhopal,Customer perception / Wrong claim,CX,8499,12,0.0014
10,Dehradun,Taste / water content,Sourcing,14021,7,0.0005
10,Varanasi,Underweight (packing issue),WH,6894,2,0.0003
10,Nashik,Internal Rotten,Sourcing,8221,7,0.0009
10,Chandigarh,Shrivelled / Dry,WH,47714,15,0.0003
10,Faridabad,Internal Rotten,Sourcing,16346,8,0.0005
10,Pondicherry,Underweight (packing issue),WH,11946,2,0.0002
10,Meerut,External Damage/Bruises,Pod,3337,38,0.0114
10,Lonavla,Raw,Sourcing,847,2,0.0024
10,Panipat,Customer perception / Wrong claim,CX,4085,6,0.0015
10,Indore,Raw,Sourcing,14906,6,0.0004
10,Muzaffarpur,External Damage/Bruises,Pod,578,10,0.0173
10,Kollam,External Damage/Bruises,Pod,8683,12,0.0014
10,Tirupur,Raw,Sourcing,5921,4,0.0007
10,Kozhikode,Taste / water content,Sourcing,14350,2,0.0001
10,Eluru,External Damage/Bruises,Pod,787,5,0.0064
10,Thoothukudi,Customer perception / Wrong claim,CX,4630,10,0.0022
10,Meerut,Customer perception / Wrong claim,CX,3337,9,0.0027
10,Mumbai,Raw,Sourcing,433575,667,0.0015
10,Vizag,External Damage/Bruises,Pod,19307,92,0.0048
10,Nashik,Raw,Sourcing,8221,17,0.0021
10,Thrissur,Customer perception / Wrong claim,CX,22534,23,0.001
10,Warangal,Overripe,Pod,8643,5,0.0006
10,Varanasi,External Rotten/ Fungal,Pod,6894,5,0.0007
10,Sonipat,External Damage/Bruises,Pod,1575,9,0.0057
10,Kurnool,Incorrect size (sourcing issue),Sourcing,5252,2,0.0004
10,Palakkad,External Damage/Bruises,Pod,3347,8,0.0024
10,Nizamabad,External Damage/Bruises,Pod,473,2,0.0042
10,Tirunelveli,Overripe,Pod,5266,2,0.0004
10,Nashik,Taste / water content,Sourcing,8221,4,0.0005
10,Indore,External Rotten/ Fungal,Pod,14906,2,0.0001
10,Jabalpur,Internal Rotten,Sourcing,3333,2,0.0006
10,Rajkot,Taste / water content,Sourcing,3652,2,0.0005
10,Sonipat,Customer perception / Wrong claim,CX,1575,3,0.0019
10,Bhubaneswar,Taste / water content,Sourcing,30723,11,0.0004
10,Amritsar,External Damage/Bruises,Pod,3055,12,0.0039
10,Vapi,Taste / water content,Sourcing,4031,2,0.0005
10,Erode,Underweight (packing issue),WH,3644,2,0.0005
10,Thanjavur,Underweight (packing issue),WH,5435,1,0.0002
10,Thiruvallur,Incorrect size (sourcing issue),Sourcing,2680,1,0.0004
10,Bathinda,Internal Rotten,Sourcing,1126,1,0.0009
10,Palakkad,Overripe,Pod,3347,1,0.0003
10,Indore,Underweight (packing issue),WH,14906,2,0.0001
10,Bareilly,Shrivelled / Dry,WH,2462,2,0.0008
10,Noida,Incorrect size (sourcing issue),Sourcing,25986,5,0.0002
10,Tumakuru,Customer perception / Wrong claim,CX,3690,1,0.0003
10,Durgapur,Shrivelled / Dry,WH,626,1,0.0016
10,Siliguri,Internal Rotten,Sourcing,2574,1,0.0004
10,Nizamabad,Internal Rotten,Sourcing,473,1,0.0021
10,Vellore,Raw,Sourcing,6818,3,0.0004
10,Gwalior,Overripe,Pod,4222,1,0.0002
10,Vadodara,Shrivelled / Dry,WH,9437,2,0.0002
10,Eluru,Internal Rotten,Sourcing,787,1,0.0013
10,Noida,Underweight (packing issue),WH,25986,1,0
10,Udaipur,External Rotten/ Fungal,Pod,5157,4,0.0008
10,Thiruvalla,Overripe,Pod,4027,1,0.0002
10,Amravati,External Damage/Bruises,Pod,1711,3,0.0018
10,Tirupur,External Rotten/ Fungal,Pod,5921,1,0.0002
10,Rudrapur,Raw,Sourcing,1390,1,0.0007
10,Dibrugarh,Raw,Sourcing,2781,2,0.0007
10,Udaipur,Underweight (packing issue),WH,5157,1,0.0002
10,Nashik,Overripe,Pod,8221,1,0.0001
10,Saharanpur,Overripe,Pod,766,1,0.0013
10,Bikaner,External Rotten/ Fungal,Pod,1411,1,0.0007
10,Saharanpur,External Damage/Bruises,Pod,766,2,0.0026
10,Bareilly,Internal Rotten,Sourcing,2462,1,0.0004
10,Berhampur,Shrivelled / Dry,WH,1401,1,0.0007
10,Udaipur,Raw,Sourcing,5157,7,0.0014
10,Muzaffarpur,Customer perception / Wrong claim,CX,578,3,0.0052
10,Faridabad,Raw,Sourcing,16346,23,0.0014
10,Pune,Raw,Sourcing,190036,214,0.0011
10,Vadodara,Customer perception / Wrong claim,CX,9437,23,0.0024
10,Pune,Overripe,Pod,190036,21,0.0001
10,Ranchi,Internal Rotten,Sourcing,7573,7,0.0009
10,Patna,Internal Rotten,Sourcing,19804,12,0.0006
10,Ahmedabad,Customer perception / Wrong claim,CX,44621,121,0.0027
10,Kolkata,Incorrect size (sourcing issue),Sourcing,127082,12,0.0001
10,Kollam,Customer perception / Wrong claim,CX,8683,5,0.0006
10,Bilaspur,Customer perception / Wrong claim,CX,1014,4,0.0039
10,Lucknow,External Damage/Bruises,Pod,24020,69,0.0029
10,Tirupati,External Rotten/ Fungal,Pod,12210,8,0.0007
10,Gwalior,External Damage/Bruises,Pod,4222,26,0.0062
10,Bangalore,Overripe,Pod,706138,94,0.0001
10,Kochi,Taste / water content,Sourcing,96727,34,0.0004
10,Thiruvananthapuram,Customer perception / Wrong claim,CX,46900,67,0.0014
10,Kozhikode,External Damage/Bruises,Pod,14350,34,0.0024
10,Kakinada,External Damage/Bruises,Pod,3503,21,0.006
10,Karimnagar,Customer perception / Wrong claim,CX,3523,10,0.0028
10,Ranchi,Underweight (packing issue),WH,7573,2,0.0003
10,Gorakhpur,External Damage/Bruises,Pod,1741,6,0.0034
10,Siliguri,External Damage/Bruises,Pod,2574,11,0.0043
10,Sonipat,Taste / water content,Sourcing,1575,4,0.0025
10,Bikaner,External Damage/Bruises,Pod,1411,7,0.005
10,Sri Ganganagar,Customer perception / Wrong claim,CX,3065,6,0.002
10,Bhubaneswar,Underweight (packing issue),WH,30723,4,0.0001
10,Rohtak,Taste / water content,Sourcing,3040,2,0.0007
10,Bangalore,Damage in transit,Pod,706138,17,0
