Unique ID,DATE,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
8/17/2026-Mumbai-6331,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Mumbai,6331,Fenugreek,2,,"External Damage/Bruises (1.00), Underweight (packing issue) (1.00)"
8/16/2026-Kolkata-7386,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Kolkata,7386,Lemongrass,1,,Shrivelled / Dry (1.00)
8/15/2026-Mumbai-5936,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Mumbai,5936,Parsley,1,,Shrivelled / Dry (1.00)
8/17/2026-Chandigarh-1292,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Chandigarh,1292,Lettuce Iceberg,1,,External Rotten/ Fungal (1.00)
8/17/2026-Karnal-1041,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Karnal,1041,Green Chilli,1,,External Rotten/ Fungal (1.00)
8/15/2026-Lucknow-1292,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Lucknow,1292,Lettuce Iceberg,2,,"External Rotten/ Fungal (1.00), Internal Rotten (1.00)"
8/18/2026-Vadodara-1051,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Vadodara,1051,Coriander Leaves,1,,Customer perception / Wrong claim (1.00)
8/16/2026-Hyderabad-12474,Sun Aug 16 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,12474,Rosemary,2,,"External Damage/Bruises (1.00), Shrivelled / Dry (1.00)"
8/17/2026-Delhi-1121,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Delhi,1121,Spinach,1,,External Damage/Bruises (1.00)
8/13/2026-Hyderabad-990,Thu Aug 13 2026 00:00:00 GMT+0530 (India Standard Time),33,Hyderabad,990,Green Amaranthus,3,,External Damage/Bruises (3.00)
8/18/2026-Chandigarh-1051,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Chandigarh,1051,Coriander Leaves,6,,External Damage/Bruises (6.00)
8/12/2026-Thrissur-993,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Thrissur,993,Red Amaranthus,2,,"Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
8/12/2026-Chandigarh-1041,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Chandigarh,1041,Green Chilli,1,,Customer perception / Wrong claim (1.00)
8/18/2026-Bikaner-1051,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Bikaner,1051,Coriander Leaves,1,,Customer perception / Wrong claim (1.00)
8/12/2026-Jaipur-3795,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Jaipur,3795,Ginger,3,,External Damage/Bruises (3.00)
8/15/2026-Nashik-8684,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Nashik,8684,Sitara Chilli,1,,External Damage/Bruises (1.00)
8/17/2026-Indore-1121,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Indore,1121,Spinach,2,,Shrivelled / Dry (2.00)
8/18/2026-Chandigarh-1121,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Chandigarh,1121,Spinach,6,,"External Damage/Bruises (5.00), Customer perception / Wrong claim (1.00)"
8/18/2026-Bangalore-5933,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Bangalore,5933,Basil,1,,Underweight (packing issue) (1.00)
8/15/2026-Thiruvananthapuram-1051,Sat Aug 15 2026 00:00:00 GMT+0530 (India Standard Time),33,Thiruvananthapuram,1051,Coriander Leaves,1,,Customer perception / Wrong claim (1.00)
8/17/2026-Hyderabad-7386,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Hyderabad,7386,Lemongrass,1,,Customer perception / Wrong claim (1.00)
8/12/2026-Chandigarh-1051,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Chandigarh,1051,Coriander Leaves,4,,"Customer perception / Wrong claim (2.00), Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
8/12/2026-Ahmedabad-5933,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Ahmedabad,5933,Basil,1,,External Damage/Bruises (1.00)
8/18/2026-Nellore-1121,Tue Aug 18 2026 00:00:00 GMT+0530 (India Standard Time),34,Nellore,1121,Spinach,1,,Shrivelled / Dry (1.00)
8/17/2026-Ajmer-1121,Mon Aug 17 2026 00:00:00 GMT+0530 (India Standard Time),34,Ajmer,1121,Spinach,1,,External Damage/Bruises (1.00)
8/12/2026-Gwalior-1051,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Gwalior,1051,Coriander Leaves,3,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
8/12/2026-Tumakuru-1121,Wed Aug 12 2026 00:00:00 GMT+0530 (India Standard Time),33,Tumakuru,1121,Spinach,2,,External Damage/Bruises (2.00)
