Unique ID,WEEK,CITY,ITEM_CODE_NEW,ITEM_NAME,Total IGCC,Unique Order Numbers,Reason Summary
33-Noida 1-513786,33,Noida 1,513786,The Flora Three Red Rose Bouquet,2,,"Customer perception / Wrong claim (1.00), Underweight (packing issue) (1.00)"
33-Hyderabad-722590,33,Hyderabad,722590,The Flora Three Pink Calimero Button,1,,Shrivelled / Dry (1.00)
33-Rohtak-1026,33,Rohtak,1026,Cabbage,1,,External Damage/Bruises (1.00)
33-Berhampur-918705,33,Berhampur,918705,Pear Nashpati,2,,"Raw (1.00), External Damage/Bruises (1.00)"
33-Nellore-3508,33,Nellore,3508,Kiran Watermelon,4,,"Internal Rotten (2.00), Customer perception / Wrong claim (1.00), External Damage/Bruises (1.00)"
33-Berhampur-1079,33,Berhampur,1079,Imported Red Globe Grapes,3,,"External Damage/Bruises (2.00), External Rotten/ Fungal (1.00)"
33-Hyderabad-998871,33,Hyderabad,998871,Premium Thai Guava,30,,"Internal Rotten (14.00), External Damage/Bruises (9.00), Raw (3.00), Customer perception / Wrong claim (3.00), <NA> (1.00)"
33-Jaipur-918705,33,Jaipur,918705,Pear Nashpati,6,,"External Damage/Bruises (3.00), Customer perception / Wrong claim (2.00), Internal Rotten (1.00)"
33-Karimnagar-918705,33,Karimnagar,918705,Pear Nashpati,1,,External Damage/Bruises (1.00)
33-Karaikkudi-3795,33,Karaikkudi,3795,Ginger,1,,External Damage/Bruises (1.00)
33-Delhi-913501,33,Delhi,913501,The Flora Single Sunflower Bouquet,5,,"External Damage/Bruises (3.00), Shrivelled / Dry (2.00)"
33-Anantapur-1108,33,Anantapur,1108,Potato,1,,Customer perception / Wrong claim (1.00)
33-Nellore-1131,33,Nellore,1131,Kiran Watermelon,1,,External Damage/Bruises (1.00)
33-Bangalore-706761,33,Bangalore,706761,nectr Radish,4,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00), Incorrect size (sourcing issue) (1.00)"
33-Chennai-582620,33,Chennai,582620,The Flora Single Pink Rose,3,,Shrivelled / Dry (3.00)
33-Pune-647226,33,Pune,647226,Phulwaa Fresh Roses,1,,Shrivelled / Dry (1.00)
33-Dehradun-208289,33,Dehradun,208289,Lettuce Green - Protected Cultivation,1,,External Damage/Bruises (1.00)
33-Anantapur-4599,33,Anantapur,4599,Lady's Finger,1,,Customer perception / Wrong claim (1.00)
33-Bangalore-785496,33,Bangalore,785496,nectr Mint Leaves,3,,"Shrivelled / Dry (1.00), Customer perception / Wrong claim (1.00), External Rotten/ Fungal (1.00)"
33-Mumbai-6686,33,Mumbai,6686,Aloevera,3,,"Customer perception / Wrong claim (2.00), External Damage/Bruises (1.00)"
33-Hosur-1113,33,Hosur,1113,Ridge Gourd,1,,External Damage/Bruises (1.00)
33-Coimbatore-729693,33,Coimbatore,729693,Crossandra (Kanakambaram),2,,"Shrivelled / Dry (1.00), External Damage/Bruises (1.00)"
33-Dindigul-2116,33,Dindigul,2116,Onion,1,,Customer perception / Wrong claim (1.00)
33-Bangalore-938324,33,Bangalore,938324,nectr Indian Tomato (Nati),12,,"Customer perception / Wrong claim (5.00), Underweight (packing issue) (3.00), External Rotten/ Fungal (2.00), External Damage/Bruises (2.00)"
33-Bangalore-618280,33,Bangalore,618280,nectr Lemon,8,,"External Damage/Bruises (6.00), Customer perception / Wrong claim (2.00)"
33-Delhi-918705,33,Delhi,918705,Pear Nashpati,28,,"External Damage/Bruises (15.00), Customer perception / Wrong claim (8.00), External Rotten/ Fungal (1.00), Raw (1.00), Internal Rotten (1.00), Underweight (packing issue) (1.00), Taste / water content (1.00)"
33-Bathinda-8962,33,Bathinda,8962,Robusta Banana Mini Pack,2,,"Customer perception / Wrong claim (1.00), Internal Rotten (1.00)"
33-Bangalore-311745,33,Bangalore,311745,nectr Asparagus,7,,"External Damage/Bruises (6.00), External Rotten/ Fungal (1.00)"
33-Bhilai-1025,33,Bhilai,1025,Broccoli,1,,External Damage/Bruises (1.00)
33-Bangalore-903992,33,Bangalore,903992,nectr Desi Coriander Leaves (Nati),11,,"Customer perception / Wrong claim (4.00), Shrivelled / Dry (3.00), External Rotten/ Fungal (2.00), External Damage/Bruises (2.00)"
33-Pune-993186,33,Pune,993186,Imported Snacky Apple,2,,"Raw (1.00), External Damage/Bruises (1.00)"
33-Bhilai-1131,33,Bhilai,1131,Kiran Watermelon,1,,External Damage/Bruises (1.00)
33-Cuddalore-11565,33,Cuddalore,11565,Baby Banana,1,,Underweight (packing issue) (1.00)
33-Berhampur-1095,33,Berhampur,1095,Button Mushroom,2,,"Customer perception / Wrong claim (1.00), Internal Rotten (1.00)"
33-Bilaspur-1106,33,Bilaspur,1106,Pomegranate,1,,External Damage/Bruises (1.00)
33-Nellore-19027,33,Nellore,19027,Green Cucumber,4,,"External Rotten/ Fungal (2.00), External Damage/Bruises (2.00)"
33-Mysore-729693,33,Mysore,729693,Crossandra (Kanakambaram),1,,Shrivelled / Dry (1.00)
