Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),,,,,,,,,,,,,,,,,,,,,,,,
A.City vs spoc level,,,,,,,,,,,,,,City,SPOC,Basic reason,Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 03 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 02 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 01 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 31 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 30 2026 00:00:00 GMT+0530 (India Standard Time),Wed Jul 29 2026 00:00:00 GMT+0530 (India Standard Time),Tier
,,,,,,,,,,,,,,Gurgaon,DP,Overripe,0,0,0.0002214471571721198,0.0003081664098613251,0.00021853146853146853,0.00014672437825544713,0.0002581477896095515,Tier-1
,,,,,,,,,,,,,,Gurgaon,DP,Raw,0,0,0.000996512207274539,0.0004930662557781202,0.00036421911421911425,0.0008069840804049592,0.001032591158438206,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Shrivelled / Dry,0,0,0.003321707357581797,0.0018489984591679508,0.0007284382284382285,0.00102707064778813,0.0001936108422071636,Tier-1
,,,,,,,,,,,,,,Gurgaon,WH,Underweight (packing issue),0,0,0.0003321707357581797,0.0002465331278890601,0.00043706293706293706,0.00044017313476634145,0.000516295579219103,Tier-1
,,,,,,,,,,,,,,Noida 1,CX,Customer perception / Wrong claim,0,0,0.0020396270396270395,0.001590490540766784,0.0014282799428688023,0.0023835534809812297,0.0037178092129125863,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,Damage in transit,0,0,0,0,0,0,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Damage/Bruises,0,0,0.005754662004662005,0.006194542106144316,0.0067333197306672105,0.007051345714569471,0.009339862169024302,Tier-1
,,,,,,,,,,,,,,Noida 1,Pod,External Rotten/ Fungal,0,0,0.002695221445221445,0.0019253306546124225,0.0027545398898184046,0.0030787565796007547,0,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Internal Rotten,0,0,0.0012383449883449883,0.0015067805123053742,0.0019383799224648032,0.0022842387526070115,0.0017228871962277838,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Taste / water content,0,0,0.0010198135198135198,0.0013393604553825547,0.001224239951030402,0.0013904061972390505,0.0009067827348567283,Tier-1
,,,,,,,,,,,,,,Noida 1,Sourcing,Incorrect size (sourcing issue),0,0,0.0005827505827505828,0.0003348401138456387,0.00020403999183840033,0.00009931472837421789,0,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Overripe,0,0,0.00036421911421911425,0.00025113008538422905,0.00040807998367680065,0.0006952030986195252,0.00009067827348567283,Tier-1
,,,,,,,,,,,,,,Noida 1,DP,Raw,0,0,0.0015297202797202797,0.0010882303699983257,0.001326259946949602,0.0006952030986195252,0.0013601741022850925,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Shrivelled / Dry,0,0,0.0029865967365967365,0.0017579105976896032,0.0005100999795960009,0.0006952030986195252,0.00018135654697134566,Tier-1
,,,,,,,,,,,,,,Noida 1,WH,Underweight (packing issue),0,0,0.000946969696969697,0.0008371002846140967,0.0007141399714344012,0.00039725891349687157,0.00045339136742836414,Tier-1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
B.7days trend (City vs spoc level),,,,,,,,,,,,,,,,,,,,,,,,
CITY,SPOC,Wed Jul 29 2026 00:00:00 GMT+0530 (India Standard Time),Thu Jul 30 2026 00:00:00 GMT+0530 (India Standard Time),Fri Jul 31 2026 00:00:00 GMT+0530 (India Standard Time),Sat Aug 01 2026 00:00:00 GMT+0530 (India Standard Time),Sun Aug 02 2026 00:00:00 GMT+0530 (India Standard Time),Mon Aug 03 2026 00:00:00 GMT+0530 (India Standard Time),Tue Aug 04 2026 00:00:00 GMT+0530 (India Standard Time),Avg,,,,,,,,,,,,,,,
Bangalore,CX,0.0025974813527116897,0.0015241140420996536,0.0018987742357433701,0.002115942302787565,0.002200151427426179,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Pod,0.003163469507388167,0.0018047783995026202,0.0018600955013115608,0.0019868446325282045,0.001965587375109488,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,Sourcing,0.001003955179128513,0.0007087663202771117,0.0007700584400514779,0.0007037397390967571,0.0006836502917204828,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Bangalore,WH,0.0003790099250065695,0.0006021849187316813,0.0006909428468955041,0.0007982014490426306,0.001140159444172271,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,CX,0.002935980045728539,0.003299674994417843,0.003418669589498682,0.0027851809167086846,0.0032180545397555113,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Pod,0.0023448867179380584,0.004465725556354975,0.002748853919291561,0.004357847727436433,0.0027235050325636473,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,Sourcing,0.0004590175292731934,0.0005871602120392653,0.0007742025279017372,0.0006962952291771712,0.0003865844739316686,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Chennai,WH,0.0006365620453128248,0.0005210013149080805,0.0006393695033795246,0.0004922086964873106,0.0007418242607877965,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,CX,0.0023421588594704683,0.0024600711528271896,0.001816667928241617,0.002266307560927544,0.002855185015989036,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Pod,0.002602398732744965,0.0020153659828930437,0.002989932631897661,0.0024743261293218594,0.0023507689964976397,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,Sourcing,0.0008259787282190541,0.0009966442106325536,0.0007947922186057073,0.0008101775821673346,0.0009802801888229024,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Delhi,WH,0.0004921928038017651,0.0004920142305654379,0.0004920142305654379,0.0012645339289233397,0.0016988350845134764,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,CX,0.003824384274131865,0.0026398182822763828,0.0027346921334871596,0.0027379990938995805,0.002800099411813437,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Pod,0.003002141655193514,0.0032946569259418423,0.0029162927829765413,0.0030925601276419724,0.0032971584789992544,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,Sourcing,0.0005609096935393402,0.0005934475208218225,0.0006765514392741671,0.0005975010013066231,0.0005578107309529727,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Hyderabad,WH,0.00029638978124521954,0.00037857859086909364,0.00045934281929667137,0.00038410778655425767,0.0012177947146052523,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,CX,0.005177372962607862,0.0022764900662251655,0.0028419856006062904,0.002780503761858031,0.002823739225205588,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Pod,0.004506232023010546,0.0030353200883002206,0.003305123994779167,0.0027259840802529712,0.0033521582615013705,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,DP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
Kolkata,Sourcing,0.00044742729306487697,0.0008278145695364238,0.0007104964001515726,0.0008586849852796859,0.0005201624888536609,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
